93,153
93,151
93,155
93,159
94,163
94,166
94,170
93,174
92,177
92,178
91,179
88,179
83,180
81,180
79,178
78,175
78,173
77,168
77,165
76,165
74,163
73,162
69,161
68,160
66,160
64,156
62,151
61,148
61,146
61,142
62,139
62,137
62,132
62,127
62,124
63,118
65,114
68,110
71,105
75,105
76,105
77,109
77,114
73,120
73,121
73,125
73,128
73,130
74,136
74,138
74,142
73,145
73,148
72,150
72,151
72,155
73,156
73,152
73,142
74,136
74,130
73,124
73,120
81,119
83,120
87,120
88,121
90,126
91,128
90,133
90,136
90,138
91,143
91,144
90,136
90,122
89,119
86,116
84,113
84,110
83,105
83,98
83,93
82,87
83,81
83,74
83,74
91,76
95,78
99,79
97,77
91,72
85,68
81,61
80,55
82,54
87,58
92,59
98,59
102,59
105,59
105,56
101,49
100,46
98,39
98,35
106,40
108,41
118,46
124,46
129,46
136,46
143,46
148,46
154,46
161,46
164,47
171,49
177,51
183,51
190,54
195,57
198,61
201,65
204,70
207,73
208,79
208,82
208,87
208,91
208,94
210,98
210,101
208,107
209,111
210,115
210,117
210,119
209,125
209,127
208,134
208,137
207,140
207,143
207,145
205,147
206,150
206,154
207,158
206,163
207,168
205,171
205,175
205,177
209,179
211,179
214,178
218,176
220,167
220,165
221,158
222,153
223,143
223,140
222,131
222,128
220,121
218,117
218,114
218,110
221,107
225,105
225,102
224,98
220,92
218,89
215,83
222,96
224,101
224,106
221,109
214,104
217,109
220,110
226,107
229,112
231,116
232,119
234,124
235,131
235,135
235,138
234,144
234,148
234,150
234,154
232,157
229,160
226,161
222,164
221,167
218,171
218,175
208,181
206,181
206,185
206,188
205,192
203,193
202,201
202,203
196,206
198,199
197,207
196,210
196,211
190,217
189,219
185,224
182,227
185,218
181,228
179,228
175,229
170,231
164,230
164,227
159,231
151,232
149,232
141,232
135,232
128,229
129,228
129,232
126,233
123,230
118,224
109,216
115,226
112,226
109,223
107,221
102,213
102,211
101,207
100,201
96,205
95,206
94,199
93,198
92,193
90,187
90,183
90,183
90,178
97,172
94,125
97,122
98,120
100,115
100,115
101,110
103,107
105,103
109,100
115,95
121,93
129,96
135,98
139,99
151,100
163,99
168,97
171,97
177,96
181,94
188,96
192,101
195,105
198,108
199,112
198,117
197,124
198,126
199,133
199,135
199,140
198,147
198,149
197,154
195,158
195,160
194,164
194,166
193,170
190,173
187,177
182,180
179,179
176,176
175,174
175,171
176,167
170,165
174,170
172,173
169,173
165,169
164,168
161,168
159,170
154,172
152,174
146,173
143,169
140,167
137,168
133,170
129,171
126,175
124,177
119,178
119,177
117,181
114,181
109,179
105,177
105,177
103,175
96,170
95,165
95,156
92,148
92,140
92,132
95,123
99,121
106,122
113,122
114,122
119,122
125,124
133,125
138,126
134,127
126,128
120,128
117,128
112,128
107,130
109,135
113,140
118,142
123,143
133,145
136,143
137,141
137,139
136,137
134,134
129,129
124,128
121,129
118,134
118,138
123,140
124,140
129,137
129,134
131,132
134,131
140,128
142,130
142,136
144,141
144,144
144,148
144,150
140,153
138,154
136,157
134,161
134,164
136,169
142,170
146,173
154,173
162,170
163,169
164,160
164,160
161,158
158,153
159,139
162,134
160,142
162,143
165,142
169,142
171,142
175,142
178,141
180,140
183,139
185,138
186,135
188,132
188,131
185,130
180,128
177,127
174,127
170,127
168,128
165,131
169,130
169,130
170,134
171,136
172,137
175,138
177,136
177,134
172,128
167,127
160,125
158,125
158,125
162,125
167,125
170,125
175,125
180,124
183,123
184,122
168,126
164,129
162,135
162,142
161,146
160,149
159,158
167,166
174,172
181,177
185,179
192,176
196,170
199,158
200,151
205,153
208,162
208,172
206,182
204,193
200,203
195,211
191,217
185,224
175,228
164,229
163,229
184,216
200,201
204,195
208,182
207,167
205,155
197,168
192,176
179,177
174,175
164,172
159,172
136,186
135,187
142,186
146,186
152,185
159,184
164,183
164,183
164,185
163,190
156,193
150,194
142,193
139,193
137,191
135,191
134,191
142,199
142,200
147,200
151,200
156,200
159,200
159,201
158,206
159,207
168,206
171,203
174,192
174,192
173,189
170,186
172,188
174,192
174,198
164,204
152,202
145,199
139,203
137,206
134,208
130,201
125,195
124,193
124,191
127,187
132,185
135,185
